source,target
AbigailGarza,TerryLin
BaiMu,ZhengJun
BeiBei,WangFeng
BeiBei,XuWei
BeiBei,TanWeiwei
BeiBei,Zhinanzhen
Bek,ShaBaoliang
BiXia,BobDylan
BiXia,PiaoShu
BiXia,WangFeng
BiXia,XuWei
CaoYin,FishLeong
ChangYing,Maya
ChangYu-hsia,RickyHsiao
ChangYu-hsia,TeresaTeng
ChenBin,SunNan
ChenBing,MayDay
ChenBing,MileyCyrus
ChenBing,StefanieSun
ChenBing,Wanfang
ChengShin-ci,ChyiChin
ChengShin-ci,LalaHsu
ChengYu,SunNan
ChengYu,YogaLin
ChenJuntong,A-mei
ChenXin,JoeyYung
ChenZhi,ZhengJun
ChuQiao,Beatles
ChuQiao,ZhengJun
CuiLanhua,SunNan
CuiTianqi,HebeTien
CuiTianqi,TearsforFears
CuiXi,ChangChen-yue
CuiZhonghua,SandyLam
DaiQuan,TeresaTeng
DaiQuan,Wondergirls
DaiYue,AngusTung
DaiYue,TigerHuang
DaShan,A-mei
DaShan,JamHsiao
DaShan,TaiAiling
DengChuan,GaryGuan
DengGu,RKelly
DengGu,TigerHuang
DingDing,PennyTai
DingDing,RubySiu
DingDing,SandyLam
DingKesen,A-mei
DingShaohua,JoannaWang
DingShaohua,MavisFan
DongZhen,WakinChau
DuoLiang,DavidWong
DuoLiang,EasonChan
DuoLiang,Shinseunghun
DuoLiang,Sodagreen
DuXingying,StephanieSun
Ekram,TigerHuang
EveAi,FengieWang
EveAi,JamesBrown
FeiFei,Beatles
GaoYang,Zhinanzhen
GarySun,A-mei
GarySun,JeffChang
GarySun,ChyiChin
GarySun,WilberPan
GeHongyu,A-mei
GeHongyu,ChristinaAguilera
GeHongyu,GaryMoore
GeHongyu,MichellePan
GeLin,MichellePan
GengSihan,Erbai
GengSihan,WangFeng
GeYusen,NatashaNa
GinLee,KitChan
GinLee,JackyCheung
GinLee,SarahMcLachlan
GinLee,JackyCheung
GuanZhe,DavidWong
GuanZhe,SandeeChan
GuanZhe,WinnieHsin
GuiYumeng,LeehomWang
HeoChul,WangFeng
HouLei,FIR
HouLei,StefanieSun
HouLei,WinnieHsin
HouZuxin,ElvisPresley
HouZuxin,SarahMcLachlan
HuangHe,Adele
HuangKai,RobbieWilliams
HuangXiaoyun,JamHsiao
HuangXiaoyun,YaoBeina_hypo
HuangXiaoyun,EricCarmen
HuangYi,MavisHee
HuangYong1,WangFeng
HuangYong4,TangDynasty
HuangYong4,TianZhen
HuangYong4,WangFeng
HuMengzhou,KellyChen
IkaZhao,Asi
IkaZhao,MeghanTrainor
IkaZhao,YaelNaim
IkaZhao,MarvinGaye
IkaZhao,MavisFan
IkyLoke,WakinChau
IkyLoke,ChristineFan
JaffriCao,EasonChan
JefferyZhang,LeehomWang
JeremyTeng,MichaelWong
JiangYuandong,FeiYu-Ching
JiHaixing,WanXiaoli
JikeJunyi,AliciaKeys
JikeJunyi,BeyonceKnowles
JikeJunyi,DengYujiao
JikeJunyi,JamesBrown
JikeJunyi,LiuHuan
JikeJunyi,MountainEagles
JikeJunyi,SunTribe
JinChi,A-mei
JinChi,ChyiChin
JinChi,LeonLai
JinRunji,MengTingwei
JinRunji,PercySledge
JinRunji,ReneLiu
JinRunji,Westlife
JinXiuyuan,AnnaLin
JinZhiwen,CyndiChaw
JinZhiwen,FanFan
JinZhiwen,NatashaNa
JinZhiwen,ReneLiu
JinZhiwen,TigerHuang
JinZhiwen,YangKun
JiuJiu,ZhangLiyi
JohannesKoo,WangFeng
JohannesKoo,AGreatBigWorld
KaiKai,PennyTai
KanLiwen,FayeWong
KanLiwen,XuWei
KikiLi,XuWei
KikiLi,BOB
LeonalaLing,ReneLiu
LeonLee,OuYangFeifei
LeonLee,Beatles
LeonLee,DavidTao
LeonLee,ChiangYu-Heng
LeonLee,JayChou
LiangBo,LuoQi
LiangBo,NatashaNa
LiangBo,WangFeng
LiangBo,ZhengJun
LiangDongjiang,KarenMok
LiangDongjiang,PennyTai
LiangDongjiang,ZhangLiangYing
LiangJunnuo,EasonChan
LiangJunnuo,YogaLin
LiDaimo,QuWanting
LiDaimo,StefanieSun
LiHangliang,MaoNing
LiJiage,A-mei
LiJiage,DavidTao
LiJiage,JolinTsai
LiMan,Daiqingtana
LiMin,ChyiChin
LimXu,JeannieHsieh
LinHsin-i,RelaxOne
LinYan,HeiBao
LinYu-chun,BeyonceKnowles
LinYu-chun,ShunzaNi
LiQi2,A-mei
LiQi2,JamHsiao
LiQi2,JasonMraz
LiQi2,KarenMok
LiQi2,ZhangYu
LiQi3,ChangChen-yue
LiQi3,JamesBrown
LiQi3,WangFeng
LiQiuze,ShunzaNi
LiQiuze,SuRui
LiuCaixing,ChyiYu
LiuChenxi,AngusTung
LiuChenxi,JeffChang
LiuHaolin,TianZhen
LiuKe,JolinTsai
LiuLi,TigerHuang
LiuShuangshuang,FayeWong
LiuShuangshuang,JackyCheung
LiuShuangshuang,ZeeAvi
LiuYating,A-mei
LiuYating,DiegoBoneta
LiuYating,JoanJett
LiuYating,NonBlondes
LiuYue,CyGrant
LiuYue,GaryChaw
LiuZhenyu,A-mei
LiuZhijia,AliciaKeys
LiuZichen,FaithYang
LiWa,JinAu-Yeung
LiWei,FayeWong
LiWei,HanHong
LiWeizhen,Shin
LiWeizhen,WangLuobin
LiWenhui,Coldplay
LiWenhui,ZhengJun
LiWenqi,Ann
LiWenqi,CuiJian
LiWenqi,HeiBao
LiWenqi,ZhengJun
LiZhixian,A-mei
LotusZhang,WangFeng
LotusZhang,ZhangLuyao
LotusZhang,MavisFan
LotusZhang,LingKai
LouQin,MavisFan
LouQin,StefanieSun
LuoJingwen,YogaLin
MaoZeshao,LiYuChun
MarkChang,Shin
MarkChang,TerryLin
MaYinyin,Ta-yuLo
MaYinyin,Shin
MaYinyin,A-mei
MaYinyin,JiangLei
MelodyTan,A-Lin
MelodyTan,CelineDion
MelodyTan,FanFan
MelodyTan,LeslieCheung
MengNan,FayeWong
MengNan,JeffChang
MengNan,KarenMok
MengNan,WhitneyHouston
MengNan,WinnieHsin
MengPeng,ChangYu-sheng
MichaelLiu,JayChou
MoHaijing,LiuHuan
MoHaijing,ChiefChao
MomoWu,CocoLee
MomoWu,EasonChan
MomoWu,F4
MomoWu,HarlemYu
MomoWu,HuangLing
MomoWu,JessieJ
MomoWu,LeehomWang
MomoWu,LinFan
MomoWu,ZhouXuan
MoYanlin,LiJian
MoYanlin,PiaoShu
NanmaZiga,Baixue
NanmaZiga,Shengyinsuipian
NiKe,CelineDion
NiPeng,Donglihuoche
NiPeng,GaryChaw
NiYafeng,LiuHuan
ParhatHalik,ChungKwanWong
ParhatHalik,EricMoo
ParhatHalik,Folk
ParhatHalik,Pin-YuanHuang
ParhatHalik,TracyChapman
ParhatHalik,WangFeng
ParhatHalik,XuWei
PingAn,AskaYang
PingAn,ChyiYu
PingAn,Queen
PingAn,YePeiying
PuYue,ZhouFeng
PuYue,TanWeiwei
QianHuaxing,GaryChaw
QianHuaxing,TerryLin
QianHuaxing,YuLiCheng
QinXiaolin,A-mei
QinYuzi,A-mei
QinYuzi,BeyonceKnowles
QinYuzi,ChyiChin
QinYuzi,CocoLee
QinYuzi,JayChow
QinYuzi,JoanJett
QinYuzi,WangZhengLiang
QiWen,NatashaNa
QuanZhendong,A-mei
QuanZhendong,DavidTao
QuanZhendong,SunNan
QuanZhendong,SuRui
QueenT,JayChou
QueenT,NickiMinaj
QueenT,ArianaGrand
QueenT,AliciaKeys
QueenT,CocoLee
QueenT,JayChou
RayDuan,JordanChan
RenBoru,BobbyChen
RenFei,HouXu
RexLi,ChyiChin
RexLi,WizKhalifa
RexLi,CharliePuth
RexLi,EasonChan
Robynn&Kenny,ChyiChin
Robynn&Kenny,DavidTao
RockyChan,HackenLee
RongQi,MayDay
RongQi,ChiefChao
RoseLiu,JackyCheung
RoseLiu,TracyHuang
RoseLiu,Wawa
SamuelHuang,JayChou
SamuelHuang,AliciaKeys
SamuelHuang,JamesBrown
SamuelHuang,MarkRonson
SamuelHuang,BrunoMars
SayaChang,JamHsiao
ShanChongfeng,WangFeng
Shanye,KarenMok
SharonKwan,JayChou
SharonKwan,QueenWei
SharonKwan,SHE
SharonKwan,Destiny'sChild
ShenManyu,HarlemYu
ShenYulin,ChyiChin
ShenYulin,YuQuan
ShiYufan,StefanieSun
ShuheiNagasawa,MavisFan
ShuheiNagasawa,KojiTamaki
ShuheiNagasawa,Shunza
ShuheiNagasawa,ShinoLin
SimonChungWai-keung,Adele
SuHao,HebeTien
SuMengmei,DavidTao
SuMengmei,HarlemYu
SuMengmei,JamesBrown
SuMengmei,TinaTuner
SuMengmei,YogaLin
SuQifan,JamHsiao
SuQifan,SarahChen
TangHongfei,XuWei
TangSiuHau,EasonChan
TanXuanyuan,Scorpions
TanXuanyuan,Shin
TanXuanyuan,ChyiYu
TanXuanyuan,Europe
TanXuanyuan,HarlemYu
TanXuanyuan,Queen
TaoHongxu,A-mei
Taskyn,DavidTao
Taskyn,WangLuobin
Taskyn,Donglihuoche
Taskyn,JohnDenvor
Taskyn,WangHailing
Taskyn,WenZhang
TianDan,JessLee
TianDan,WhitneyHouston
TianYuan,HeLu
TianYuan,SandyLam
TongYushuo,AskaYang
TongYushuo,JoannaWang
TuHongjiang,LiJian
UsayKawlu,BaiGuang
VanatsayaViseskul,FeiYu-Ching
WangChong,NatashaNa
WangDi,TanyaChua
WangFeixue,YanYangTian
WangHongdi,ChangShilei
WangHongdi,GaryChaw
WangKaiqi,A-mei
WangKaiqi,ChristinaAguilera
WangKaiqi,SunTribe
WangKaiqi,WangFeng
WangKe,FayeWong
WangKe,YogaLin
WangNaien,BeyonceKnowles
WangNaien,JackyCheung
WangQiwei,Sodagreen
WangTuo,A-mei
WangTuo,YaoLi
WangYan,A-mei
WangYang,ChangYu-sheng
WangYu,KarenMok
WangYuling,FayeWong
WangYuling,MichellePan
WangYunyi,ChenJingyun
WangYunyi,FayeWong
WangYunyi,KarenMok
WangYunyi,KooMei
WangYunyi,TsaiChin
WangZhuo,Kuaizixiongdi
WangZilong,JackyCheung
WeiRan,ChyiChin
WeiRan,EasonChan
WeiRan,LeehomWang
WeiRan,RKelly
WeiRan,WillLiu
WeiRan,YogaLin
WeiXueman,JeffChang
WeiYunuo,CuiJian
WendyWoo,LeehomWang
WillJay,FoolsGarden
WillJay,TarcySu
WillJay,WilliamWei
WuJiali,A-mei
WuMulan,AskaYang
WuMulan,LuGuangzhong
WuYazhu,LinXiaopei
XiaHeng,AaronKwok
XiaHeng,SunNan
Xiu'er,CuiJian
XuanXuan,LeonaLewis
XuanXuan,MichellePan
XuanXuan,YogaLin
XuHaixing,CelineDion
XuHaixing,CocoLee
XuHaixing,ShunzaNi
XuJianqiu,Shin
XuJianqiu,Sodagreen
YangBaoxin,A-mei
YangTianrong,YogaLin
YanXing,A-mei
YaoBeina,A-mei
YaoBeina,CelineDion
YaoBeina,ShunzaNi
YaoBeina,SunNan
YaoBeina,SuRui
YaoZheng,TianZhen
YehPing-huan,ChyiChin
YehPing-huan,LuGuangzhong
YehWei-ting,A-mei
