source,target
AbigailGarza,TerryLin
BaiMu,ZhengJun
BeiBei,WangFeng
BeiBei,XuWei
BeiBei,TanWeiwei
BeiBei,Zhinanzhen
Bek,ShaBaoliang
BiXia,BobDylan
BiXia,PiaoShu
BiXia,WangFeng
BiXia,XuWei
CaoYin,FishLeong
ChangYing,Maya
ChangYu-hsia,RickyHsiao
ChangYu-hsia,TeresaTeng
ChenBin,SunNan
ChenBing,MayDay
ChenBing,MileyCyrus
ChenBing,StefanieSun
ChenBing,Wanfang
ChengShin-ci,ChyiChin
ChengShin-ci,LalaHsu
ChengYu,SunNan
ChengYu,YogaLin
ChenJuntong,A-mei
ChenXin,JoeyYung
ChenZhi,ZhengJun
ChuQiao,Beatles
ChuQiao,ZhengJun
CuiLanhua,SunNan
CuiTianqi,HebeTien
CuiTianqi,TearsforFears
CuiXi,ChangChen-yue
CuiZhonghua,SandyLam
DaiQuan,TeresaTeng
DaiQuan,Wondergirls
DaiYue,AngusTung
DaiYue,TigerHuang
DaShan,A-mei
DaShan,JamHsiao
DaShan,TaiAiling
DengChuan,GaryGuan
DengGu,RKelly
DengGu,TigerHuang
DingDing,PennyTai
DingDing,RubySiu
DingDing,SandyLam
DingKesen,A-mei
DingShaohua,JoannaWang
DingShaohua,MavisFan
DongZhen,WakinChau
DuoLiang,DavidWong
DuoLiang,EasonChan
DuoLiang,Shinseunghun
DuoLiang,Sodagreen
DuXingying,StephanieSun
Ekram,TigerHuang
EveAi,FengieWang
EveAi,JamesBrown
FeiFei,Beatles
GaoYang,Zhinanzhen
GarySun,A-mei
GarySun,JeffChang
GarySun,ChyiChin
GarySun,WilberPan
GeHongyu,A-mei
GeHongyu,ChristinaAguilera
GeHongyu,GaryMoore
GeHongyu,MichellePan
GeLin,MichellePan
GengSihan,Erbai
GengSihan,WangFeng
GeYusen,NatashaNa
GinLee,KitChan
GinLee,JackyCheung
GinLee,SarahMcLachlan
GinLee,JackyCheung
GuanZhe,DavidWong
GuanZhe,SandeeChan
GuanZhe,WinnieHsin
GuiYumeng,LeehomWang
HeoChul,WangFeng
HouLei,FIR
HouLei,StefanieSun
HouLei,WinnieHsin
HouZuxin,ElvisPresley
HouZuxin,SarahMcLachlan
HuangHe,Adele
HuangKai,RobbieWilliams
HuangXiaoyun,JamHsiao
HuangXiaoyun,YaoBeina_hypo
HuangXiaoyun,EricCarmen
HuangYi,MavisHee
HuangYong1,WangFeng
HuangYong4,TangDynasty
HuangYong4,TianZhen
HuangYong4,WangFeng
HuMengzhou,KellyChen
